latin,english,french,spanish,chinese,cas,pl_list
acebrocholum,acebrochol,acébrochol,acebrocol,醋溴考尔,,pl01
acediasulfonum natricum,acediasulfone'sodium,acédiasulfone sodique,acediasulfona de sodio,,,pl01
acetaminosalolum,acctaminosalol,acétaminosalol,acetaminosalol,,,pl01
acidum aminoaceticum,amino-acetic acid,,,,,pl01
acidum dehydrocholicum,dehydrocholic acid,acide déhydrocholique,ácido dehidrocólico,去氢胆酸,,pl01
acidum gentisicum,gentisic acid,acide gentisique,ácido gentísico,龙胆酸,,pl01
acidum glutamicum,glutamic acid,acide glutamique,ácido glutámico,谷氨酸,,pl01
acidum iopanoicum,iopanoic acid,acide iopanoïque,ácido iopanoico,碘番酸,,pl01
acriflavinii chloridum,acriflavinium chloride,chlorure d'acriflavinium,cloruro de acriflavinio,吖啶黄,,pl01
adipheninum,adiphenine,adiphénine,adifenina,阿地芬宁,,pl01
adrenalonum,adrenalone,adrélanone,adrenalona,肾上腺酮,,pl01
aethacridinum,ethacridine,éthacridine,etacridina,依沙吖啶,,pl01
aethoxazorutosidum,ethoxazorutoside,éthoxazorutoside,etoxazorutósido,乙吗芦丁,,pl01
alcoholum benzylicum,alcool benzylique,,,,,pl01
aldesulfonum natricum,aldesulfone sodium,aldésulfone sodique,aldesulfona de sodio,阿地砜钠,,pl01
allobarbitalum,allobarbital,allobarbital,alobarbital,阿洛巴比妥,,pl01
allocupreidum natricum,allocupreide sodium,allocupréide sodique,alocupreida de sodio,阿洛酮钠,,pl01
allomethadionum,allomethadione,allométhadione,"allyl-3 méthyl-5 oxazolidine dione-2,4",阿洛双酮,,pl01
alphameprodinum,alphameprodine,alphaméprodine,alfameprodina,阿法美罗定,,pl01
alphaprodinum,alphaprodine,"diméthyl-1,3 phényl-4 propionoxy-4",pipéridine,阿法罗定,,pl01
aminoacridinum,aminoacridine,aminoacridine,aminoacridina,氨吖啶,,pl01
aminothiazolum,aminothiazole,aminothiazol,aminotiazol,氨噻唑,,pl01
amobarbitalum,amobarbital,,,,,pl01
amodiaquini hydrochloridum,amodiaquine hydrochloride,,,,,pl01
amoxecainum,amoxecaine,N-β-éthyle,amoxecaína,阿莫卡因,,pl01
antazolini hydrochloridum,antazoline hydrochloride,,,,,pl01
aprobarbitalum,aprobarbital,aprobarbital,aprobarbital,阿普比妥,,pl01
aurothioglycanidum,aurothioglycanide,auromercaptoacétanilide,aurotioglicanida,金硫醋苯胺,,pl01
azamethonii bromidum,azamethonium bromide,bromure d'azaméthonium,bromuro de azametonio,阿扎溴铵,,pl01
bacitracinum,bacitracin,bacitracine,bacitracina,杆菌肽,,pl01
benethamini penicillinum,benethamine penicillin,pénicilline-bénéthamine,pénicilline,苯明青霉素,,pl01
benzalkonii chloridum,benzalkonium chloride,chlorure de benzalkonium,cloruro de benzalconio,苯扎氯铵,,pl01
benzethonii chloridum,benzethonium chloride,chlorure de benzéthonium,cloruro de bencetonio,苄索氯铵,,pl01
chlorure de benzéthonium,chlorure de benzéthoni,,,,,pl01
benzododecinium,benzododecini,,,,,pl01
benzoestrolum,benzoestrol,,,,,pl01
benzylsulfammidum,benzylsulfamide,benzylsulfamide,bencilsulfamida,苄磺胺,,pl01
betameprodinum,betameprodin,bétaméprodine,betameprodina,,,pl01
bibrocatholum,bibrocathol,bibrocathol,bibrocatol,铋溴酚,,pl01
biotinum,biotin,biotine,biotina,生物素,,pl01
bithionolum,bithionol,bithionol,bitionol,硫氯酚,,pl01
bromisovalum,β-alanine,bromisoval,bromisoval,,,pl01
carbomycinum,carbomycin,carbomycine,carbomicina,卡波霉素,,pl01
carbromalum,carbromal,carbromal,carbromal,卡溴脲,,pl01
cetobemidonum,ketobemidone,cétobémidone,cetobemidona,凯托米酮,,pl01
cetrimonium,cetrimoni,,,,,pl01
cetrimonium,cetrimoni,,,,,pl01
cétrimonium,cétrimoni,,,,,pl01
cetylpyridinii chloridum,cetylpyridinium chloride,chlorure de cétylpyridinium,cloruro de cetilpiridinio,西吡氯铵,,pl01
chlorure de cétylpyridinium,chlorure de cétylpyridini,,,,,pl01
chloramphenicolum,chloramphenicol,chloramphénicol,cloranfenicol,氯霉素,,pl01
chlorazodinum,chlorazodin,chlorazodine,clorazodina,氯脒佐定,,pl01
chlorcyclizinil chloridum,chlorcyclizinium chloride,,,,,pl01
chlorure de chlorcyclizinium,chlorure de chlorcyclizini,,,,,pl01
chlormethinum,chlormethine,chlorméthine,clormetina,氮芥,,pl01
chlornaphazinum,chlornaphazine,chlornaphazine,clornafazina,萘氮芥,,pl01
chlorophenothanum technicum,chlorophénothane technique,,,,,pl01
chloropyraminum,chloropyramine,chloropyramine,cloropiramina,氯吡拉敏,,pl01
cetyltrimethylammonium,cetyltrimethylammoni,,,,,pl01
cétyl triméthyl ammonium,propanediol,,,,,pl01
citrate de chloropyrilénium,ethylenediamine citrate,,,,,pl01
chlorpromazinii chloridum,chlorpromazinium chloride,,,,,pl01
chlorure de chlorpromazinium,phenothiazinium chloride,,,,,pl01
chlorquinaldolum,chlorquinaldol,chlorquinaldol,clorquinaldol,氯喹那多,,pl01
gluconate de cholinium,gluconate de cholini,,,,,pl01
cinchocainii chloridum,cinchocainium chloride,,,,,pl01
chlorure de cinchocainium,chlorure de cinchocaini,,,,,pl01
cinchophenum,cinchophen,cinchophène,cincofeno,辛可芬,,pl01
cocarboxylasum,cocarboxylase,cocarboxylase,cocarboxilasa,辅羧酶,,pl01
corbadrinum,corbadrine,corbadrine,corbadrina,可巴君,,pl01
corticotrophinum,corticotrophin,hormone adrénocorticotrope,,,,pl01
cortisonum,cortisone,cortisone,cortisona,可的松,,pl01
cyanocobalaminum,cyanocobalamin,cyanocobalamine,cianocobalamina,维生素B12,,pl01
cyclizinui chloridum,cyclizinium chloride,,,,,pl01
chlorure de cyclizinium,nium,,,,,pl01
cyclobarbitalum,cyclobarbital,cyclobarbital,ciclobarbital,环己巴比妥,,pl01
cyclopentaminum,cyclopentamine,cyclopentamine,ciclopentamina,环喷他明,,pl01
cyclopropanum,cyclopropane,cyclopropane,ciclopropano,环丙烷,,pl01
decamethonium,decamethoni,,,,,pl01
decamethonium,decamethoni,,,,,pl01
décaméthonium,"décaméthylène bis-triméthylammonium-1,10",,,,,pl01
dexamphetaminum,dexamphetamine,dexamphétamine,(+)amphétamine,,,pl01
dextranum,dextran,dextran,dextran,右旋糖酐,,pl01
dextromethorphanum,dextromethorphan,dextrométhorphane,(+) méthoxy-3 N-méthylmorphinane,右美沙芬,,pl01
dextrorphanum,dextrorphan,dextrorphane,dextrorfano,右啡烷,,pl01
diaphenylsulfonum,diaphenylsulfone,,,,,pl01
dibemethinum,dibemethine,dibéméthine,dibemetina,双苄甲胺,,pl01
hydrochloridum,hydrochloride,,,,,pl01
dienoestrolum,dienoestrol,,,,,pl01
diethazinum,diethazine,diéthazine,dietazina,二乙嗪,,pl01
diethylcarbamazinum,diethylcarbamazine,diéthylcarbamazine,diéthylcarbamoyl-1 méthyl-4 pipérazine,乙胺嗪,,pl01
digitoxosidum,digitoxoside,,,,,pl01
dihydrostreptomycinum,dihydrostreptomycin,dihydrostreptomycine,dihidroestreptomicina,双氢链霉素,,pl01
dihydrotachysterolum,dihydrotachysterol,dihydrotachystérol,dihidrotaquisterol,二氢速固醇,,pl01
diiodohydroxyquinolinum,diiodohydroxyquinoline,diiodohydroxyquinoléine,diiodohidroxiquinoleína,双碘喹啉,,pl01
dimenhydrinatum,dimenhydrinate,"N,N-diméthyl éthylammonium",dimenhidrinato,茶苯海明,,pl01
dimercaprolum,dimercaprol,dimercaprol,dimercaprol,二巯丙醇,,pl01
dimethiodalum natricum,dimethiodal sodium,diméthiodal sodique,dimetiodal de sodio,二碘甲磺钠,,pl01
dimethyltubocurarinii chloridum,dimethyltubocurarinii chlorid,chlorure de diméthyltubocurarinium,cloruro de dimetiltubocurarinio,,,pl01
chlorure de diméthyltubocurarinium,dimoxylinii phosphas,,,,,pl01
diodonum,diodone,diodone,diodona,碘奥酮,,pl01
diperodoni hydrochloridum,diperodon hydrochloride,chlorhydrate de dipérodon,,,,pl01
diphenanum,diphenan,diphénane,difenán,地芬南,,pl01
diphenhydramini hydrochloridum,diphenhydramine hydrochloride,chlorhydrate de diphénhydramine,,,,pl01
diprophyllinum,diprophylline,diprophylline,diprofilina,二羟丙茶碱,,pl01
disulfiramum,disulfiram,disulfirame,disulfiram,双硫仑,,pl01
dixanthogenum,dixanthogen,dixanthogène,dixantogeno,二黄原酸,,pl01
succinate de doxylaminium,succinate de doxylamini,,,,,pl01
ethinyloestradiolum,ethinyloestradiol,éthinylcestradiol,,,,pl01
eucatropinum,eucatropine,eucatropine,eucatropina,尤卡托品,,pl01
fenethazinum,fenethazine,fénéthazine,fenetazina,芬乙嗪,,pl01
fumagillinum,fumagillin,fumagilline,fumagilina,夫马洁林,,pl01
furostilboestrolum,furostilboestrol,disulfure de tétraéthyl thiurame,diéthyldixanthogène,,,pl01
furtrethonii iodidum,furtrethonium iodide,iodure de furtréthonium,ioduro de furtretonio,呋索碘铵,,pl01
iodure de furtréthonium,iodure de furtréthoni,,,,,pl01
gallaminum,gallamine,,,,,pl01
glucosulfamidum,glucosulfamide,glucosulfamide,glucosulfamida,葡磺胺,,pl01
glucosulfonum,glucosulfone,glucosulfone,glucosulfona,葡胺苯砜,,pl01
glycobiarsolum,glycobiarsol,glycobiarsol,glicobiarsol,甘铋胂,,pl01
gonadotrophinum chorionicum,gonadotrophine chorionique,gonadotrophine chorionique,gonadotrofina coriónica,,,pl01
gonadotrophinum sericum,gonadotrophine sérique,gonadotrophine sérique,gonadotrofina sérica,,,pl01
gramicidinum,gramicidin,gramicidine,gramicidina,短杆菌肽,,pl01
heptaminolum,heptaminol,heptaminol,heptaminol,辛胺醇,,pl01
hexachlorophenum,hexachlorophene,hexachlorophène,hexaclorofeno,六氯酚,,pl01
hexamethonium,hexamethoni,,,,,pl01
hexamethonium,hexamethoni,,,,,pl01
hexaméthonium,hexaméthoni,,,,,pl01
hexobarbitalum,hexobarbital,hexobarbital,hexobarbital,海索比妥,,pl01
iodure de furfuryltriméthylammonium,domethanol,méthanol,"hexaméthylène bis-triméthylammonium-1,6",,,pl01
hexoestrolum,hexoestrol.,,,,,pl01
homatropini methylbromidum,homatropine methylbromide,méthylbromure d'homatropine,metilbromuro de homatropina,甲溴后马托品,,pl01
hyaluronidasum,hyaluronic acid,mérisation de l'acide hyaluronique,hialuronidasa,,,pl01
hydralazinum,hydralazine,hydralazine,hidralazina,肼屈嗪,,pl01
hydrocortisonum,hydrocortisone,hydrocortisone,hidrocortisona,氢化可的松,,pl01
hydromorphoni hydrochloridum,hydromorphone hydrochloride,,,,,pl01
hydroxyamphetaminii bromidum,hydroxyamphetaminii bromid,,,,,pl01
hydroxyprocainum,hydroxyprocaine,hydroxyprocaïne,hidroxiprocaína,羟普鲁卡因,,pl01
hydroxytetracainum,hydroxytetracaine,hydroxytétracaïne,hidroxitetracaína,羟丁卡因,,pl01
ibrotamidum,ibrotamide,ibrotamide,ibrotamida,异溴米特,,pl01
ichthammolum,ichthammol,,,,,pl01
intermedinum,intermedine,intermédine,intermedina,垂体中叶素,,pl01
iodetrylum,iodétryl,iodétryl,iodetrilo,,,pl01
rodophthaleinum natricum,iodophthalein sodium,iodophtaléine sodique,iodoftaleína de sodio,碘酞钠,,pl01
iodothiouracilum,iodothiouracil,iodothiouracil,iodotiouracilo,碘硫氧嘧啶,,pl01
iproniazidum,iproniazid,iproniazide,iproniazida,异丙烟肼,,pl01
isomethadonum,isomethadone,isométhadone,isometadona,异美沙酮,,pl01
isoniazidum,isoniazid,isoniazide,isoniazida,异烟肼,,pl01
isoprenalinum,isoprenaline,isoprénaline,isoprenalina,异丙肾上腺素,,pl01
khellinum,khellin,khelline,kelina,凯林,,pl01
levarterenolum,levarterenol,lévartérénol,,,,pl01
levomethorphanum,levomethorphan,lévométhorphane,(-) méthoxy-3 N-méthylmorphinanc,左美沙芬,,pl01
merbrominum,merbromin,merbromine,merbromina,汞溴红,,pl01
mercaptaminum,mercaptamine,mercaptamine,mercaptamina,巯乙胺,,pl01
mercaptomerinum,mercaptomerin,mercaptomérine,mercaptomerina,硫汞林,,pl01
mercuderamidum,mercuderamide,mercudéramide,mercuderamida,汞拉米特,,pl01
mercurobutolum,mercurobutol,mercurobutol,mercurobutol,汞氯丁酚,,pl01
mercurophyllinum,mercurophylline,mercurophylline,mercurofilina,汞罗茶碱,,pl01
mesulfenum,mesulfen,mésulfène,mesulfeno,甲硫芬,,pl01
methacholinii chloridum,methacholinium chloride,,,,,pl01
chlorure de méthacholinium,chlorure de méthacholini,,,,,pl01
methadoni hydrochloridum,methadone hydrochloride,chlorhydrate de méthadone,β-mercaptoéthylamine,,,pl01
methandriolum,methandriol,méthandriol,metandriol,美雄醇,,pl01
methanthelinii bromidum,methanthelinium bromide,bromure de méthanthélinium,bromuro de metantelinio,美生溴铵,,pl01
bromure de méthanthélinium,bromure de méthanthélini,,,,,pl01
methaphenilenum,methaphenilene,méthaphénilène,metafenileno,美沙芬林,,pl01
methapyrilenum,methapyrilene,méthapyrilène,metapirileno,美沙吡林,,pl01
metharbitalum,metharbital,métharbital,metarbital,美沙比妥,,pl01
methenaminii tetraiodidum,methenaminium tetraiodide,,,,,pl01
tétraiodure de méthénaminium,tétraiodure de méthénamini,,,,,pl01
methenaminum,methenamine,méthénamine,dipropionate de méthestrol,乌洛托品,,pl01
methiodalum natricum,methiodal sodium,méthiodal sodique,"méthyl-17a androstène-5 diol-3β,17β",碘甲磺钠,,pl01
methylphenobarbitalum,methylphenobarbital,méthylphénobarbital,metilfenobarbital,甲苯比妥,,pl01
methylrosanilinii chloridum,methylrosanilinii chlorid,chlorure de méthylrosanilinium,cloruro de metilrosanilina,,,pl01
methylrosanilinium chloridum,crystal violet,,,,,pl01
chlorure de méthylrosanilinium,violet cristallisé,,,,,pl01
methylthioninii chloridum,methylthioninium chloride,chlorure de méthylthioninium,cloruro de metiltioninio,亚甲蓝,,pl01
chlorure de méthylthioninium,chlorure de méthylthionini,,,,,pl01
chlorure de tétraméthylthioninium,chlorure de tétraméthylthionini,,,,,pl01
methylthiouracilum,methylthiouracil,méthyl-4 thio-uracile-2,metiltiouracilo,甲硫氧嘧啶,,pl01
metoponi hydrochloridum,metopon hydrochloride,chlorhydrate de métopon,,,,pl01
oléate de monoéthanolaminium,oléate de monoéthanolamini,,,,,pl01
nalorphinum,nalorphine,nalorphine,nalorfina,烯丙吗啡,,pl01
naphazolinum,naphazoline,natrüi dehydrocholas,nafazolina,萘甲唑啉,,pl01
neocinchophenum,neocinchophen,néocinchophène,neocincofeno,新辛可芬,,pl01
neomycinum,neomycin,néomycine,neomicina,新霉素,,pl01
nicopholinum,nicopholine,nicopholine,nicofolina,尼可复林,,pl01
nitrofuralum,nitrofural,nitrofural,nitrofural,呋喃西林,,pl01
nitrosulfathiazolum,nitrosulfathiazole,nitrosulfathiazol,nitrosulfatiazol,硝磺胺噻唑,,pl01
natricus,noramidopyrinium methane-,,,,,pl01
noramidopyrinium,noramidopyrini,,,,,pl01
octamylaminum,octamylamnine,octamylamine,octamilamina,,,pl01
oxapropanii iodidum,oxapropanium iodide,iodure d'oxapropanium,ioduro de oxapropanio,奥普碘铵,,pl01
oxophenarsini hydrochloridum,oxophenarsine hydrochloride,chlorhydrate d'oxyphénarsine,,,,pl01
oxycodoni hydrochloridum,oxycodone hydrochloride,,,,,pl01
oxydipentonii chloridum,oxydipentoniur chloride,chlorure d'oxydipentonium,cloruro de oxidipentonio,,,pl01
oxyphenonii bromidum,oxyphenonium bromide,bromure d'oxyphénonium,bromuro de oxifenonio,奥芬溴铵,,pl01
oxytetracyclinum,oxytetracycline,oxytétracycline,oxitetraciclina,土霉素,,pl01
paramethadionum,paramethadione,paraméthadione,parametadiona,甲乙双酮,,pl01
parathiazinum,parathrazine,parathiazine,paratiazina,,,pl01
parethoxycainum,parethoxycainc,paréthoxycaine,paretoxicaína,,,pl01
paroxypropionum,paroxypropione,paroxypropione,paroxipropiona,对羟苯丙酮,,pl01
pentamethonium,pentamethoni,,,,,pl01
pentamethonium,pentamethoni,,,,,pl01
pentaméthonium,"pentaméthylène bis-triméthylammonium-1,5",,,,,pl01
pentamidinum,pentamidinc,p-p'-diamidino-diphénoxy pentane,pentamidina,,,pl01
pentobarbitalum,pentobarbital,pentobarbital,pentobarbital,戊巴比妥,,pl01
phenacemidum,phenylacetylurea,phénacémide,phényl acétyl urée,,,pl01
phenadoxonum,phenadoxone,phénadoxone,fenadoxona,苯吗庚酮,,pl01
phenicarbazidum,phenicarbazide,phénicarbazide,phénylsemicarbazide,苯胺脲,,pl01
phenindaminum,phenindamine,phénindamine,fenindamina,苯茚胺,,pl01
pheniodolum natricum,pheniodol sodium,phéniodol sodique,feniodol de sodio,碘阿芬酸钠,,pl01
phenododecinium,phenododecini,,,,,pl01
phenododecinium,phenododecini,,,,,pl01
phénododécinium,phénododécini,,,,,pl01
phenothiazinum,phenothiazine,phénothiazine,fenotiazina,吩塞秦,,pl01
phenpromethaminum,phenpromethamine,phenprométhamine,"N,β-diméthyl phénéthylamine",苯丙甲胺,,pl01
phentolaminum,phentolamine,phentolamine,fentolamina,酚妥拉明,,pl01
phenylbutazonum,phenylbutazone,phénylbutazone,fenilbutazona,保泰松,,pl01
phenylephrinum,phenylephrine,phényléphrine,fenilefrina,去氧肾上腺素,,pl01
pholcodinum,pholcodine,,,,,pl01
phthalylsulfathiazolum,phthalylsulfathiazole,phtalylsulfathiazol,ftalilsulfatiazol,酞磺胺噻唑,,pl01
phytomenadionum,phytomenadione,phytoménadione,fitomenadiona,维生素K1,,pl01
piperocainii chloridum,piperocainium chloride,,,,,pl01
chlorure de pipérocainium,propane,,,,,pl01
piperoxani hydrochloridum,piperoxan hydrochloride,chlorhydrate de pipéroxane,,,,pl01
piridocainum,piridocaine,piridocaïne,piridocaína,匹多卡因,,pl01
polyvidonum,polyvidone,,,,,pl01
pregnenolonum,pregnenolone,prégnénolone,pregnenolona,孕烯诺龙,,pl01
primaquinum,primaquine,primaquine,primaquina,伯氨喹,,pl01
probarbitalum natricum,probarbital sodium,probarbital sodique,probarbital de sodio,普罗比妥钠,,pl01
procainamidum,procainamide,procaïnamide,procainamida,普鲁卡因胺,,pl01
procyclidinum,procyclidine,procyclidine,prociclidina,丙环定,,pl01
profenamini hydrochloridum,profenamine hydrochloride,chlorhydrate de profénamine,,,,pl01
proflavinum,proflavine,proflavine,proflavina,原黄素,,pl01
promethazini hydrochloridum,promethazine hydrochloride,chlorhydrate de prométhazine,,,,pl01
propamidinum,propamidine,propamidine,propamidina,普罗帕脒,,pl01
propanthelini bromidum,propantheline bromide,bromure de propanthéline,bromuro de propantelina,溴丙铵太林,,pl01
propyliodonum,propyliodone,propyliodone,propiliodona,丙碘酮,,pl01
propylthiouracilum,propylthiouracil,propylthiouracile,propiltiouracilo,丙硫氧嘧啶,,pl01
propyphenazonum,propyphenazone,propyphénazone,propifenazona,异丙安替比林,,pl01
pyridoxinii chloridum,pyridoxinium chloride,,,,,pl01
chlorure de pyridoxinium,chlorure de pyridoxini,,,,,pl01
pyrimethaminum,pyrimethamine,pyriméthamine,N-thiodiphénylamine,乙胺嘧啶,,pl01
pyridinium,pyridini,,,,,pl01
pyroxylinum,pyroxylin,pyroxyline,piroxilina,火棉,,pl01
racemethorphanum,racemethorphan,racéméthorphane,（士）méthoxy-3 N-méthylmorphinane,消旋甲啡烷,,pl01
racemorphanum,racemorphan,racémorphane,racemorfano,消旋啡烷,,pl01
rutosidum,rutoside,rutoside,rutósido,芦丁,,pl01
salacetamidum,salacetamide,salacétamide,N-acétyl salicylamide,醋水杨胺,,pl01
salazosulfamidum,salazosulfamide,acide p-sulfamido phénylazosalicylique,salazosulfamida,柳氮磺胺,,pl01
salazosulfapyridinum,salazosulfapyridine,,,,,pl01
salazosulfathiazolum,salazosulfathiazole,salazosulfathiazol,salazosulfatiazol,柳氮磺噻唑,,pl01
salicylamidum,salicylamide,salicylamide,salicilamida,水杨酰胺,,pl01
secretinum,secretin,secrétine,synonyme:solution de Ringer lactée,胰泌素,,pl01
stearylsulfamidum,stearylsulfamide,stéarylsulfamide,stéarylsulfanilamide,硬脂磺胺,,pl01
stibamini glucosidum,stibamine glucoside,stibamine glucoside,estibamina glucósido,锑巴葡胺,,pl01
stibosaminum,stibosamine,stibosamine,estibosamina,沙胺,,pl01
streptomycinum,streptomycin,streptomycine,estreptomicina,链霉素,,pl01
subathizonum,subathizone,subathizone,subatizona,舒巴硫腙,,pl01
sulfacetamidum,sulfacetamide,sulfacétamide,sulfacetamida,磺胺醋酰,,pl01
sulfachrysoidinum,sulfachrysoidine,sulfachrysoïdine,sulfacrisoidina,磺胺柯定,,pl01
sulfadiasulfonum natricum,sulfadiasulfone sodium,sulfadiasulfone sodique,sulfadiasulfona de sodio,磺胺苯砜钠,,pl01
sulfadimidinum,sulfadimidine,"diméthyl-4,6 sulfanilamido-2 pyrimidine",sulfadimidina,磺胺二甲嘧啶,,pl01
sulfafurazolum,sulfafurazole,sulfafurazol,sulfafurazol,磺胺异唑,,pl01
sulfamethizolum,sulfamethizole,sulfaméthizol,sulfametizol,磺胺甲二唑,,pl01
sulfapyridinum,sulfapyridine,sulfathio-urée,sulfapiridina,磺胺吡啶,,pl01
sulfisomidinum,sulfisomidine,"diméthyl-2,4 suIfanilamido-6 pyrimidine",sulfisomidina,磺胺索嘧啶,,pl01
sulfogaiacolum,sulfogaiacol,sulfogaïacol,sulfoguayacol,愈创木酚磺酸钾,,pl01
suraminum natricum,suramin sodium,suramine sodique,suramina de sodio,舒拉明钠,,pl01
suxamethonii chloridum,suxamethonium chloride,chlorure de suxaméthonium,cloruro de suxametonio,氯琥珀胆碱,,pl01
chlorure de suxaméthonium,chlorure de suxaméthoni,2 éthyle),,,,pl01
suxethonii chloridum,suxethonium chloride,chlorure de suxéthonium,cloruro de suxetonio,琥乙氯铵,,pl01
chlorure de suxéthonium,chlorure de suxéthoni,,,,,pl01
tetrylammonii bromidum,tetrylammonium bromide,bromure de tétrylammonium,bromuro de tetrilamonio,四乙溴铵,,pl01
bromure de tétrylammonium,bromure de tétrylammoni,,,,,pl01
bromure de tétraéthylammonium,bromure de tétraéthylammoni,,,,,pl01
thiacetarsamidum natricum,thiacetarsamide sodium,thiacétarsamide sodique,tiacetarsamida de sodio,硫胂胺钠,,pl01
thiamazolum,thiamazole,thiamazol,tiamazol,甲巯咪唑,,pl01
thiazosulfonum,thiazosulfone,thiazosulfone,tiazosulfona,噻唑砜,,pl01
thioacetazonum,thioacetazone,thioacétazone,tioacetazona,氨硫脲,,pl01
thiodiglycolum,thiodiglycol,thiodiglycol,tiodiglicol,硫双乙醇,,pl01
thiomersalum,thiomersal,thiomersal,tiomersal,硫柳汞,,pl01
thonzylaminii chloridum,thonzylaminium chloride,,,,,pl01
chlorure de thonzylaminium,chlorure de thonzylamini,N'-(pyrimidyl-2) éthylènediamine,,,,pl01
tocamphylum,tocamphyl,tocamphyl,tocanfilo,托坎非,,pl01
tolazolinum,tolazoline,tolazoline,tolazolina,妥拉唑林,,pl01
trichloroethylenum,trichlorethylene,trichloréthylène,tricloroetileno,,,pl01
trihexyphenidyli hydrochloridum,trihexyphenidyl hydrochloride,,,,,pl01
trimethadionum,trimethadione,triméthadione,"triméthyl-3,5,5 oxazolidine dione-2,4",三甲双酮,,pl01
tripelennaminui hydrochloridum,tripelennamine hydrochloride,chlorhydrate de tripélennamine,,,,pl01
tuaminoheptanum,tuaminoheptane,méthyl-1 hexylamine,tuaminoheptano,异庚胺,,pl01
tubocurarini chloridum,tubocurarine chloride,chlorure de tubocurarine,cloruro de tubocurarina,氯筒箭毒碱,,pl01
tyrothricinum,tyrothricin,tyrothricine,tirotricina,短杆菌素,,pl01
urethanum,urethane,uréthane,carbamate d'éthyle,乌拉坦,,pl01
vanyldisulfamidum,vanyldisulfamide,vanyldisulfamide,vanildisulfamida,香草磺胺,,pl01
vinbarbitalum,vinbarbital,vinbarbital,vinbarbital,戊烯比妥,,pl01
levallorphanum,levallorphan,lévallorphane,levalorfano,左洛啡烷,,pl02
diethylthiambutenum,diethylthiambutene,diéthylthiambutène,dietiltiambuteno,二乙噻丁,,pl03
dimethylthiambutenum,dimethylthiambutene,diméthylthiambutène,dimetiltiambuteno,二甲噻丁,,pl03
ethylmethylthiambutenum,ethylmethylthiambutene,éthylméthylthiambutène,etilmetiltiambuteno,乙甲噻丁,,pl03
cainum,caine,,,,,pl04
sulfonum,sulfone,,,,,pl04
quinum,quine,,,,,pl04
crinum,crine,,,,,pl04
dionum,dione,,,,,pl04
toinum,toin,,,,,pl04
stigminum,stigmine,,,,,pl04
acetarsolum,acetarsol,acétarsol,acetarsol,乙酰胂胺,,pl04
acetylcholini chloridum,acetylcholine chloride,chlorure d'acétylcholine,cloruro de acetilcolina,氯乙酰胆碱,,pl04
acidum ascorbicum,ascorbic acid,acide ascorbique,ácido ascórbico,维生素C,,pl04
acidum folicum,folic acid,acide folique,ácido fólico,叶酸,,pl04
acidum iophenoicum,iophenoic acid,acide iophénoïque,ácido iofenoico,碘芬酸,,pl04
acidum nicotinicum,nicotinic acid,acide nicotinique,ácido nicotínico,烟酸,,pl04
adipiodonum,adipiodJone,adipiodone,adipiodona,,,pl04
aethistcronum,ethistorone,,,,,pl04
amidopyrinum,amidocyrine,,,,,pl04
aminuozolum,amurozole,,,,,pl04
aminophyllinum,aminophylline,aminophylline,aminofilina,氨茶碱,,pl04
aminopterinum natricum,aminopterin sodium,aminoptérine sodique,aminopterina de sodio,氨蝶呤钠,,pl04
amphetaminum,amphetamin,,,,,pl04
androstanolonum,androsranolone,androstanolone,androstanolona,,,pl04
arsthinolum,arsthinol,arsthinol,arstinol,胂噻醇,,pl04
barbulalum,barbutal,,,,,pl04
barbil ilum natricum,barbrI sodium,,,,,pl04
bromaznum,bromarine,,,,,pl04
buchzinum,buclizine,buclizine,buclizina,布克力嗪,,pl04
butacainum,butacaine,butacaïne,butacaína,布他卡因,,pl04
butalbitalum,butalbital,,,,,pl04
calciferolum,calciferol,,,,,pl04
carbacholum,carbachol,carbachol,carbacol,卡巴胆碱,,pl04
carbarsonum,carbarsone,carbarsone,carbarsona,卡巴胂,,pl04
carbimazolum,carbimazol,carbimazole,carbimazol,,,pl04
carbinoxaminum,carbinoxamine,carbinoxamine,carbinoxamina,卡比沙明,,pl04
carzenidum,carzenide,carzénide,carcenida,卡西尼特,,pl04
chiniofonum,chiniofon,chiniofon,quiniofón,喹碘方,,pl04
chlorbetamidum,chlorbetamid,chlorbétamide,clorbetamida,,,pl04
chlormerodrinum,chlormerodrine,chlormérodrine,clormerodrina,,,pl04
chlorobutanolum,chlorobutanol,chlorobutanol,clorobutanol,三氯叔丁醇,,pl04
chlorocresolum,chlorocresol,chlorocrésol,clorocresol,氯甲酚,,pl04
chloroquinum,chloroquin,chloroquine,cloroquina,,,pl04
chlorphenaminum,chlorphenamine,chlorphénamine,clorfenamina,氯苯那敏,,pl04
chlortetracyclinum,chlortetracycline,chlortétracycline,clortetraciclina,金霉素,,pl04
cholini chloridum,choline chloride,chlorure de choline,cloruro de colina,氯化胆碱,,pl04
conessinum,conessine,conessine,conesina,可内新,,pl04
cycriminum,cycrimine,cycrimine,cicrimina,赛克立明,,pl04
aesoxycortonum,desoxycortone,désoxycortone,desoxicortona,去氧皮质酮,,pl04
dibrompropamidinum,dibrompropamidine,dibrompropamidine,dibrompropamidina,双溴丙脒,,pl04
dichloroxylenolum,dichloroxylenol,dichloroxylénol,dicloroxilenol,二氯二甲酚,,pl04
digoxinum,digoxin,digoxine,digoxina,地高辛,,pl04
