latin,english,french,spanish,chinese,cas,pl_list
isuzinaxibum,isuzinaxib,isuzinaxib,isuzinaxib,伊舒纳昔,1270084-92-8,pl124
labuvirtidum,labuvirtide,labuvirtide,labuvirtida,莱布韦肽,2395796-76-4,pl124
larsucosterolum,larsucosterol,larsucostérol,larsucosterol,拉舒胆醇,884905-07-1,pl124
latozinemabum,latozinemab,latozinémab,latozinemab,拉泽奈单抗,,pl124
neurological,,,,,2376132-27-1,pl124
lemzoparlimabum,lemzoparlimab,lemzoparlimab,lemzoparlimab,来佐利单抗,2377483-71-9,pl124
lenrispodunum,lenrispodun,lenrispodun,lenrispodun,兰利泊顿,1160521-50-5,pl124
libvatrepum,libvatrep,libvatrep,libvatrep,利泊伐曲普,871814-52-7,pl124
licaminlimabum,licaminlimab,licaminlimab,licaminlimab,林卡利单抗,1688648-13-6,pl124
lirentelimabum,lirentelimab,lirentélimab,lirentelimab,莱瑞利单抗,2283348-97-8,pl124
locnartecanum,locnartecan,locnartécan,locnartecán,洛那替康,1472614-83-7,pl124
lonigutamabum,lonigutamab,lonigutamab,lonigutamabum,罗尼妥单抗,2363754-30-5,pl124
lusvertikimabum,lusvertikimab,lusvertikimab,lusvertikimab,芦维奇单抗,2375835-91-7,pl124
mevidalenum,mevidalen,mévidalène,mevidaleno,美维达仑,1638667-79-4,pl124
mibavademabum,mibavademab,mibavadémab,mibavademab,米瓦德单抗,2305770-44-7,pl124
mipicoledinum,mipicoledine,mipicolédine,mipicoledina,米匹考来丁,942149-56-6,pl124
nadecnemabum,nadecnemab,nadecnémab,nadecnemab,那迪奈单抗,2377679-19-9,pl124
nanvuranlatum,nanvuranlat,nanvuranlat,nanvuranlat,南夫兰特,1037592-40-7,pl124
navtemadlinum,navtemadlin,navtémadline,navtemadlina,那特德林,1352066-68-2,pl124
nemtabrutinibum,nemtabrutinib,nemtabrutinib,nemtabrutinib,奈他布替尼,2095393-15-8,pl124
nendratareotidum,nendratareotide,nendrataréotide,nendratareotida,奈曲瑞肽,1853254-97-3,pl124
nilofabicinum,nilofabicin,nilofabicine,nilofabicina,尼洛法比星,934628-27-0,pl124
ninerafaxstatum,ninerafaxstat,ninérafaxstat,ninerafaxstat,尼奈伐司他,2254741-41-6,pl124
nivadstrocelum,nivadstrocel,nivadstrocel,nivadstrocel,尼沃阿托赛,,pl124
nivatrotamabum,nivatrotamab,nivatrotamab,nivatrotamab,恩依妥单抗,2278244-14-5,pl124
ocarocoxibum,ocarocoxib,ocarocoxib,ocarocoxib,奥卡罗昔布,215122-22-8,pl124
onilcamotidum,onilcamotide,onilcamotide,onilcamotida,昂尼卡莫肽,1164096-85-8,pl124
onzigolidum,onzigolide,onzigolide,onzigolida,昂兹高莱,778630-77-6,pl124
opelconazolum,opelconazole,opelconazole,opelconazol,奥派康唑,1931946-73-4,pl124
ordesekimabum,ordesekimab,ordésékimab,ordesekimab,奥司奇单抗,2396744-46-8,pl124
orludodstatum,orludodstat,orludodstat,orludodstat,奥鲁多司他,2225819-06-5,pl124
osugacestatum,osugacestat,osugacestat,osugacestat,奥舒伽司他,2366304-08-5,pl124
pafolacianinum,pafolacianine,pafolacianine,pafolacianina,帕叶昔宁,1628423-76-6,pl124
palopegteriparatidum,palopegteriparatide,palopegtériparatide,palopegteriparatida,帕罗培特立帕肽,2413858-99-6,pl124
plazinemdorum,plazinemdor,plazinemdor,plazinemdor,帕拉奈多,2378285-59-5,pl124
plonmarlimabum,plonmarlimab,plonmarlimab,plonmarlimab,普那利单抗,2377482-36-3,pl124
ponsegromabum,ponsegromab,ponségromab,ponsegromab,珀塞古单抗,2368950-15-4,pl124
prusogliptinum,prusogliptin,prusogliptine,prusogliptina,普卢格列汀,1186426-66-3,pl124
pucotenlimabum,pucotenlimab,pucotenlimab,pucotenlimab,普特利单抗,2403647-03-8,pl124
pulrodemstatum,pulrodemstat,pulrodemstat,pulrodemstat,普罗德司他,1396823-56-5,pl124
quemliclustatum,quemliclustat,quémliclustat,quemliclustat,奎利克鲁司他,2395839-91-3,pl124
ropanicantum,ropanicant,ropanicant,ropanicant,罗帕尼坎,2414674-70-5,pl124
runimotamabum,runimotamab,runimotamab,runimotamab,芦莫妥单抗,2361325-98-4,pl124
sapablursenum,sapablursen,sapablursen,sapablursén,沙帕鲁生,2379806-98-9,pl124
sibeprenlimabum,sibeprenlimab,sibéprenlimab,sibeprenlimab,斯贝利单抗,2382896-07-1,pl124
simpiniclinum,simpinicline,simpinicline,simpiniclina,西比尼克林,2395524-75-9,pl124
sudubrilimabum,sudubrilimab,sudubrilimab,sudubrilimab,舒度利单抗,2387417-06-1,pl124
sunobinopum,sunobinop,sunobinop,sunobinop,舒比诺普,1126793-40-5,pl124
surzebiclimabum,surzebiclimab,surzébiclimab,surzebiclimab,舒泽利单抗,2342597-90-2,pl124
tadnersenum,tadnersen,tadnersen,tadnersén,他达奈生,2170507-65-8,pl124
tasurgratinibum,tasurgratinib,tasurgratinib,tasurgratinib,他舒替尼,1622204-21-0,pl124
temgicolurilum,temgicoluril,temgicoluril,temgicoluril,替吉鲁瑞,10095-06-4,pl124
tigulixostatum,tigulixostat,tigulixostat,tigulixostat,替古索司他,1287766-55-5,pl124
tirnovetmabum,tirnovetmab,tirnovetmab,tirnovetmab,替尔维单抗,2364504-80-1,pl124
tolinapantum,tolinapant,tolinapant,tolinapant,托利那泮,1799328-86-1,pl124
tomligisiranum,tomligisiran,tomligisiran,tomligisirán,托立司兰,2202803-58-3,pl124
torudokimabum,torudokimab,torudokimab,torudokimab,托芦奇单抗,2241728-76-5,pl124
tozorakimabum,tozorakimab,tozorakimab,tozorakimab,托雷奇单抗,2376858-66-9,pl124
ulevostinagum,ulevostinag,ulévostinag,ulevostinag,乌伏司亭那,2082743-96-0,pl124
uliledlimabum,uliledlimab,ulilédlimab,uliledlimab,尤莱利单抗,2378407-27-1,pl124
ulotarontum,ulotaront,ulotaront,ulotaront,乌洛他隆,1310426-33-5,pl124
umifoxolanerum,umifoxolaner,umifoxolaner,umifoxolaner,尤米氟拉纳,2021230-37-3,pl124
unasnemabum,unasnemab,unasnémab,unasnemab,尤那奈单抗,,pl124
neurological,,,,,2379805-59-9,pl124
unesbulinum,unesbulin,unesbuline,unesbulina,乌奈布林,1610964-64-1,pl124
usmarapridum,usmarapride,usmarapride,usmaraprida,乌司拉必利,2382896-00-4,pl124
varoglutamstatum,varoglutamstat,varoglutamstat,varoglutamstat,伐罗谷司他,1276021-65-8,pl124
vemircopanum,vemircopan,vémircopan,vemircopán,维莫可泮,2086178-00-7,pl124
vixtimotamabum,vixtimotamab,vixtimotamab,vixtimotamab,维莫妥单抗,2243775-32-6,pl124
zabedosertibum,zabedosertib,zabédosertib,zabedosertib,扎贝色替,1931994-81-8,pl124
zaloglanstatum,zaloglanstat,zaloglanstat,zaloglanstat,扎罗列司他,1513852-12-4,pl124
zavegepantum,zavegepant,zavégépant,zavegepant,扎维吉泮,1337918-83-8,pl124
zeluvalimabum,zeluvalimab,zéluvalimab,zeluvalimab,泽瓦利单抗,2315361-37-4,pl124
